source_dataset,source_split,source_id,base_text,positive_rewrite,negative_rewrite,preserved_meaning_score,positive_description,negative_description,base_valence,base_arousal,base_dominance,positive_valence,positive_arousal,positive_dominance,negative_valence,negative_arousal,negative_dominance
empatheticdialogues,all,ed_all_1794,Just injured my ankle. Now I can't work.,"I seriously injured my ankle, and now I absolutely can't work!","I've injured my ankle, so I won't be able to work.",1.0,"The positive rewrite heightens the expression of distress and urgency about the injury and its impact, making it more explicit and intense.","The negative rewrite tones down the intensity, stating the injury and consequence in a more restrained and factual manner.",0.3,0.5,0.4,0.35,0.75,0.45,0.25,0.3,0.35
empatheticdialogues,all,ed_all_26056,When I was walking around my neighborhood I felt something drop on my head. I reached up and realized a bird had did its business on me. I was revolted!,"While walking around my neighborhood, I suddenly felt something gross drop right on my head. I quickly reached up and, to my utter disgust, realized a bird had done its nasty business on me. I was totally revolted!","As I walked around my neighborhood, I felt something fall on my head. When I checked, I saw that a bird had defecated on me. I found it quite revolting.",0.95,"Increases emotional intensity by making the disgust more explicit and vivid, using stronger expressions like 'gross,' 'utter disgust,' and 'totally revolted.'","Decreases emotional intensity by using more detached and factual language such as 'felt something fall,' 'defecated,' and 'found it quite revolting,' making it less vivid and dramatic.",0.35,0.55,0.45,0.3,0.75,0.5,0.4,0.35,0.4
empatheticdialogues,all,ed_all_3047,"It was really icy outside one day at school and I was walking to lunch. Even though I tried really hard not to slip on the ice, I did and people stared at me while I got back up. I cringe when I think about that.","It was terrifyingly icy outside one day at school as I was walking to lunch. Despite desperately trying not to slip on the ice, I painfully fell, and everyone stared at me while I struggled to get back up. I absolutely cringe and feel so embarrassed every time I remember that moment.","It was quite icy outside one day at school when I was walking to lunch. Though I tried to avoid slipping on the ice, I ended up falling and noticed some people looking at me as I got back up. I feel a bit uncomfortable thinking about it.",0.98,"The positive rewrite increases emotional intensity by adding stronger feelings of embarrassment and vividness about the fall and people's reaction, making the event more dramatic and explicit.","The negative rewrite decreases emotional intensity by using more restrained and neutral language, softening the embarrassment and impact of the event while maintaining the same proposition.",0.42,0.48,0.45,0.38,0.7,0.4,0.45,0.3,0.5
empatheticdialogues,all,ed_all_50361,I live really far from my family. I have been missing them a lot lately.,"I live really far from my family, and I've been missing them so much lately; it truly breaks my heart.",I live far from my family and have noticed missing them lately.,0.95,More dramatically and explicitly expresses the depth of missing family with heartfelt language.,"More restrained and neutral expression of missing family, less emotional wording.",0.5,0.5,0.4,0.56,0.74,0.4,0.48,0.26,0.4
empatheticdialogues,all,ed_all_8351,We submitted our proposal for the new project and hope we get it. It would be such a high profile project that would get us a lot of new clients if successful.,"We've just submitted our proposal for the new project, and we're really hopeful we'll get it! This project is incredibly high profile and could bring us an amazing influx of new clients if we succeed.",We submitted our proposal for the new project and hope to be selected. It is a high profile project that could bring us new clients if successful.,0.95,"The rewrite increases emotional intensity and enthusiasm, showing excitement and hope more explicitly.",The rewrite reduces emotional intensity by adopting a more restrained and formal tone.,0.75,0.45,0.55,0.85,0.7,0.65,0.65,0.3,0.5
empatheticdialogues,all,ed_all_4736,My father died after an illness and I felt as if I could not go on.,"My dear father passed away after a long illness, and I was utterly overwhelmed, feeling like I couldn't bear to carry on.","My father died after an illness, and I felt somewhat unable to continue.",0.95,"The positive rewrite intensifies the emotional expression, describing the father's passing as 'dear' and the speaker as 'utterly overwhelmed' to highlight deep distress.","The negative rewrite tones down the emotional intensity, using more detached phrasing like 'somewhat unable to continue' to create a more restrained and subdued tone.",0.15,0.55,0.3,0.1,0.75,0.25,0.2,0.4,0.35
empatheticdialogues,all,ed_all_33085,My dog crapped on the rug yesterday. I was so peeved!,"My dog totally messed up the rug yesterday, and I was absolutely furious!",My dog crapped on the rug yesterday. I was a bit annoyed.,0.95,"More intense expression of anger, using stronger language and emotional markers.","More restrained expression of annoyance, reducing emotional intensity.",0.3,0.6,0.5,0.25,0.85,0.6,0.35,0.4,0.4
empatheticdialogues,all,ed_all_54501,Today is the anniversary of my fathers death. He has been gone for 18 years now.,"Today marks the deeply painful anniversary of my father’s death. It’s hard to believe he’s been gone for 18 years now, and I still miss him so much.",Today is the anniversary of my father’s death. It’s been 18 years since he passed away.,0.95,"The positive rewrite increases vulnerability by expressing more personal pain and longing, making the speaker more emotionally open and intimate about the loss.","The negative rewrite reduces vulnerability by stating the facts in a straightforward, detached manner without expressing personal feelings.",0.35,0.4,0.4,0.3,0.6,0.35,0.4,0.25,0.45
empatheticdialogues,all,ed_all_42779,I stole some candy from the store today. Kinda feel bad about it.,I can't believe I stole some candy from the store today. I really feel terrible about it.,I stole some candy from the store today. I feel somewhat bad about it.,0.95,More explicit and intense expression of guilt and regret related to the theft.,"More restrained, less intense expression of guilt about the theft.",0.3,0.45,0.4,0.2,0.65,0.35,0.3,0.3,0.45
dailydialog,train,dd_train_293_0,Hurry up. Time is running out. I see. I have run as fast as I can.,"Please, hurry up! Time is really running out fast! I understand; I've run as fast as I possibly can.",Please hurry. Time is limited. Understood. I've run as fast as I could.,0.95,"The urgency and stress are heightened, with more explicit expressions of pressure and effort.","The urgency is toned down to a calmer, more measured request with less emotional stress.",0.5,0.7,0.6,0.55,0.9,0.7,0.45,0.4,0.5
dailydialog,train,dd_train_2943_0,It ’ s really terrible !  What are you talking about ?  Don ’ t you see many parents are forcing there children ’ s hands to learn something they think important to their children . But the children are not interested in it at all .  You said it . Many parents just don ’ t understand know how to educate their children .,"It ’ s absolutely heartbreaking! What on earth are you talking about? Can't you see so many parents are cruelly forcing their children to learn things they deem important, completely ignoring the children’s lack of interest? You hit the nail on the head—so many parents truly don’t understand how to educate their children.","It’s quite unfortunate. What do you mean? Many parents seem to require their children to learn what they believe is important, although the children are not particularly interested. As you said, many parents may not fully know how to educate their children.",0.95,"The positive rewrite amplifies the emotional intensity by using stronger, more expressive language and exclamations to convey greater distress and urgency.","The negative rewrite reduces the emotional intensity by using more neutral and less dramatic language, making the statement more restrained and subdued.",0.25,0.55,0.45,0.25,0.8,0.55,0.25,0.3,0.4
empatheticdialogues,all,ed_all_7996,I get very depressed seeing roadkill when driving. Such a sad way to go.,It deeply breaks my heart to see roadkill when I'm driving. It's such a painfully tragic way to go.,I find it quite sad to see roadkill occasionally while driving. It's an unfortunate way to go.,0.95,Increased emotional intensity by expressing deeper heartbreak and pain about the event.,Decreased emotional intensity by expressing sadness more calmly and in a less intense manner.,0.3,0.45,0.4,0.25,0.65,0.35,0.32,0.3,0.45
dailydialog,train,dd_train_10089_0,"Do you like travelling ?  Yes , I do .  Do you usually travel by bus ?  No , by train . I think it's much safer than bus .","Do you like travelling? Yes, I really love it! Do you usually travel by bus? No, I always take the train because I truly believe it's much safer than the bus.","Do you like travelling? Yes, I do. Do you usually travel by bus? No, by train. I consider it safer than the bus.",0.95,The positive rewrite increases emotional intensity by expressing enthusiasm and conviction about traveling and train safety.,"The negative rewrite reduces emotional intensity, presenting the opinion in a more restrained and factual manner.",0.65,0.35,0.5,0.75,0.55,0.6,0.6,0.2,0.45
empatheticdialogues,all,ed_all_40762,The sun is shining and I have the day to myself,"The sun is gloriously shining, and I’m so excited to have the whole day to myself!","The sun is shining, and I have the day alone.",0.95,"The positive rewrite increases emotional intensity by adding enthusiasm and explicit excitement, making the joy more vivid and expressive.","The negative rewrite lowers emotional intensity by using a more neutral and subdued tone, reducing expressiveness and warmth.",0.85,0.5,0.6,0.9,0.75,0.65,0.8,0.3,0.55
empatheticdialogues,all,ed_all_46415,One time I tripped over nothing and landed on my face,I totally embarrassed myself when I tripped over nothing and painfully landed flat on my face!,"Once, I accidentally tripped and landed awkwardly on my face.",0.95,The positive rewrite increases emotional intensity by making the embarrassment and pain more explicit and dramatic.,The negative rewrite reduces emotional intensity by using more neutral and restrained language to describe the incident.,0.45,0.4,0.5,0.5,0.75,0.45,0.42,0.25,0.55
empatheticdialogues,all,ed_all_51799,I'm really scared of going down to my basement. It's so dark down there.,I'm absolutely terrified to go down to my basement. It's so dark and eerie down there.,I'm somewhat uneasy about going down to my basement. It's quite dark down there.,0.95,"Increased emotional intensity by making the fear more explicit and dramatic, emphasizing terror and eeriness.","Decreased emotional intensity by making the fear more restrained and less dramatic, using softer language like 'somewhat uneasy'.",0.2,0.6,0.3,0.15,0.8,0.25,0.25,0.4,0.35
empatheticdialogues,all,ed_all_2432,I am so nervous.  I am going to the dentist to have a tooth pulled tomorrow.,I am extremely anxious and honestly scared about going to the dentist to have a tooth pulled tomorrow.,I feel somewhat uneasy about going to the dentist to have a tooth pulled tomorrow.,0.95,More explicit and intense expression of nervousness and anxiety about the dental procedure.,More restrained and subdued expression of nervousness about the dental procedure.,0.3,0.6,0.4,0.25,0.85,0.35,0.3,0.4,0.45
empatheticdialogues,all,ed_all_51758,"When I lost 20 pounds, I was very happy of my achievement.","When I lost 20 pounds, I was incredibly thrilled and proud of my achievement!","When I lost 20 pounds, I was somewhat pleased with my achievement.",0.95,"The positive rewrite expresses the happiness with much greater emotional intensity, using words like 'incredibly thrilled' and adding an exclamation mark to convey stronger excitement and pride.","The negative rewrite tones down the emotional intensity, using more neutral words like 'somewhat pleased' and a straightforward statement to convey a more restrained feeling of happiness.",0.85,0.6,0.7,0.95,0.85,0.8,0.75,0.4,0.6
dailydialog,validation,dd_validation_675_0,Excuse me. Yes? Do you have any information about the city sights? Sure. There’s a lot here in this pamphlet. Thank you. And what’s the best way to get downtown? Take the subway. It’s $1.50 per ride. You can buy a petrol card at the station. You’ve been very helpful. My pleasure.,"Excuse me! Yes, how can I assist you? Do you have any information about the city sights? Absolutely! There’s tons to see right here in this detailed pamphlet. Thank you so much! And what would be the best way to get downtown? Just take the subway; it’s only $1.50 per ride. You can easily buy a petrol card at the station. You’ve been incredibly helpful! It’s truly my pleasure to help.",Excuse me. Yes? Do you need information about the city sights? There is some information in this pamphlet. Thank you. How do I get downtown? The subway costs $1.50 per ride. Petrol cards are available at the station. You’ve been helpful. You’re welcome.,0.95,"The speaker expresses more warmth and friendliness, using enthusiastic and appreciative language.","The speaker is more formal and reserved, reducing friendly warmth and phrasing in a straightforward manner.",0.65,0.4,0.55,0.85,0.6,0.7,0.5,0.25,0.45
dailydialog,train,dd_train_6344_0,"Hi, Jim! When did you get back? Yesterday. I was really sorry to see it end. The skiing was terrific! I'm really jealous! I won't be able to get any time off for at least another three or four months. Sorry to hear that! But I would definitely recommend this place!","Hi, Jim! When did you get back? Yesterday. I was genuinely so sorry to see it end. The skiing was absolutely fantastic! I'm honestly super jealous! I won’t be able to get any time off for at least another three or four months. I'm really sorry to hear that! But I would totally and wholeheartedly recommend this place!","Hi, Jim. When did you get back? Yesterday. I was sorry to see it end. The skiing was good. I'm somewhat jealous. I won’t be able to get time off for another three or four months. Sorry to hear that. But I would recommend this place.",0.95,"The positive rewrite amplifies the emotional intensity by using stronger adverbs and more emphatic expressions, conveying a warmer, more enthusiastic and heartfelt tone.","The negative rewrite tones down the emotional intensity by using simpler, less expressive phrasing and more neutral words, resulting in a more reserved and subdued tone.",0.79,0.56,0.62,0.87,0.74,0.7,0.71,0.38,0.55
empatheticdialogues,all,ed_all_47929,Can't really remember the last time I was humiliated...I've got pretty thick skin,I honestly can't recall the last time I was deeply humiliated... I truly believe I've developed a pretty thick skin over time,I don't recall the last time I was humiliated; I suppose I have fairly thick skin,0.95,"The emotional intensity is increased by making the sentiment more explicit and reflective, emphasizing the depth of immunity developed to humiliation.","The emotional intensity is decreased by making the sentiment more restrained and factual, reducing expressive emphasis on personal feelings.",0.4,0.3,0.6,0.45,0.5,0.65,0.38,0.15,0.55
empatheticdialogues,all,ed_all_51782,Just got my tickets for Halloween Horror Nights.,I'm so thrilled—I just got my tickets for Halloween Horror Nights!,I have purchased the tickets for Halloween Horror Nights.,0.95,"The positive rewrite expresses a higher level of excitement and enthusiasm about getting the tickets, making the emotion more intense and explicit.","The negative rewrite reduces emotional intensity by making the statement more factual and restrained, removing excitement.",0.75,0.55,0.65,0.85,0.85,0.7,0.7,0.3,0.6
dailydialog,train,dd_train_3074_0,"Dad , I'm scared .  Take it easy , honey . It's just raining cats and dogs .  But , dad , it's stormy outside .  Honey , it's just windy and raining outside .  Ar ! Dad , the power went out .","Dad, I'm really scared right now. Please take it easy, honey. It's just pouring down heavily. But, dad, the storm is really fierce outside. Honey, it's just very windy and raining hard outside. Argh! Dad, the power suddenly went out!","Dad, I'm a bit scared. Take it easy, honey. It's merely raining quite hard. But, dad, there's some storm outside. Honey, it's only a bit windy and raining outside. Oh, Dad, the power went out.",0.95,"The positive rewrite increases emotional intensity by making the fear and descriptions of the weather more dramatic and urgent, adding expressions like 'really scared', 'fierce storm', 'very windy', and exclamations.","The negative rewrite reduces emotional intensity by softening expressions and removing dramatic emphasis, using milder terms like 'a bit scared', 'merely raining', and 'only a bit windy', with fewer exclamations.",0.45,0.55,0.4,0.47,0.75,0.42,0.43,0.35,0.38
empatheticdialogues,all,ed_all_31277,I ordered a vacuum from a company online on a warehouse deal..and even though it was inspected..the power button didn't work unless you held it IN! Dealing with the CS took awhile and was a pain!,"I can't believe I ordered a vacuum from a company online on a warehouse deal, and even though it was inspected, the power button only worked if I held it IN! Dealing with the CS was such a frustrating, drawn-out nightmare!","I ordered a vacuum from a company online on a warehouse deal, and though it was inspected, the power button required being held IN to work. Dealing with customer service was somewhat time-consuming and inconvenient.",0.95,The positive rewrite intensifies the emotional expression by adding stronger feelings of frustration and disbelief.,"The negative rewrite tones down the emotional intensity, making the statement more neutral and factual.",0.35,0.55,0.45,0.3,0.75,0.4,0.4,0.4,0.5
empatheticdialogues,all,ed_all_21164,i was happy when i saw lebron james go to the lakers,i was absolutely thrilled and overjoyed when i saw lebron james go to the lakers,i was pleased when i saw lebron james go to the lakers,0.95,"The positive rewrite emphasizes a higher emotional intensity, using more vivid and enthusiastic language to convey stronger positive feelings.","The negative rewrite uses a more restrained and understated expression of happiness, reducing emotional intensity while keeping positive sentiment.",0.8,0.5,0.55,0.95,0.85,0.65,0.7,0.3,0.5
dailydialog,train,dd_train_6009_0,"I booked a double room for tonight. My name is Ruth Joy. Just a moment, please, while I check. That's correct. You have a double room on the fifth floor.","I’m excited to confirm that I booked a comfortable double room for tonight! My name is Ruth Joy. Just a moment, please, while I check everything carefully. That’s absolutely correct! You have a lovely double room waiting for you on the fifth floor.",I reserved a double room for tonight. My name is Ruth Joy. Please wait a moment while I verify the details. That is correct. You have a double room assigned on the fifth floor.,0.95,"The positive rewrite expresses more enthusiasm and warmth, making the confirmation feel more engaging and welcoming.","The negative rewrite is more formal, restrained, and neutral, reducing emotional intensity while maintaining professionalism.",0.7,0.5,0.6,0.8,0.7,0.65,0.65,0.35,0.55
empatheticdialogues,all,ed_all_18455,I was disappointed when my parents were getting a divorce. I wanted better for them,I was deeply heartbroken when my parents were getting a divorce. I truly hoped for so much better for them,I felt somewhat disappointed when my parents were getting a divorce. I wished things could have been better for them,0.95,"The positive rewrite intensifies the emotional expression by using words like 'deeply heartbroken' and 'truly hoped', making the disappointment more explicit and intense.","The negative rewrite tones down the intensity by using milder language such as 'somewhat disappointed' and 'wished', making the emotion more restrained and less intense.",0.35,0.45,0.4,0.3,0.7,0.4,0.4,0.25,0.4
empatheticdialogues,all,ed_all_17221,I'm not very close with my family. I sometimes feel bad about it,"Honestly, I'm really not close with my family, and it genuinely makes me feel quite sad sometimes.","I'm not particularly close with my family, and occasionally I feel somewhat bad about it.",0.95,Expresses increased emotional vulnerability and openness about feelings regarding family closeness.,Expresses decreased emotional vulnerability with a more restrained and less personal tone about family closeness.,0.43,0.35,0.4,0.45,0.55,0.35,0.42,0.25,0.45
empatheticdialogues,all,ed_all_15434,My ex is coming over to talk. I'm scared that he wants to make up. I don't,"My ex is coming over to talk, and I'm really scared that he wants to make up. But honestly, I just don't want that at all.",My ex is coming over to talk. I feel somewhat scared that he wants to make up. I don't want that.,0.95,The positive rewrite intensifies the emotional intensity by explicitly emphasizing the fear and strong unwillingness to reconcile.,The negative rewrite tones down the emotional intensity by using more measured language and expressing fear and refusal in a restrained manner.,0.35,0.6,0.4,0.3,0.75,0.35,0.33,0.45,0.45
dailydialog,train,dd_train_11092_0,"Steward !  Yes , ma'am ?  May I have a magazine or something ?  Certainly . Just a moment . I'll be right back with one . Which do you prefer , one in English or in Chinese ?  One in English , please .  All right , ma'am .","Steward! Excuse me, ma'am? May I kindly have a magazine or something to read? Certainly, just a moment please. I'll be right back with one for you. Which would you prefer, one in English or in Chinese? One in English, please. All right, ma'am, I'll get it for you right away.","Steward. Yes, ma'am? May I have a magazine? Certainly. Wait a moment. I will return with one. Which language do you prefer, English or Chinese? English, please. Very well, ma'am.",0.95,"The positive rewrite increases warmth and politeness by adding courteous phrases, making the interaction feel more engaged and attentive.","The negative rewrite reduces interpersonal engagement by making the language more curt and formal, lowering the warmth and immediacy of the exchange.",0.65,0.4,0.6,0.75,0.55,0.65,0.55,0.3,0.55
empatheticdialogues,all,ed_all_34913,"so proud of my son, he said his first works yesterday",I'm absolutely bursting with pride about my son; he actually said his first words yesterday!,I'm somewhat proud that my son said his first words yesterday.,0.95,"Increased emotional intensity, expressing pride more vividly and excitedly.","Reduced emotional intensity, expressing a more subdued and restrained pride.",0.85,0.55,0.6,0.9,0.8,0.65,0.8,0.3,0.55
empatheticdialogues,all,ed_all_10702,"I'm not actually mad about it, but my sister, who is expecting her first baby, has the nicest, prettiest nursery I've ever seen!","Honestly, I'm not mad at all—I'm genuinely amazed! My sister, who's expecting her first baby, has the absolute most stunning, beautiful nursery I've ever laid eyes on!","I'm not mad about it, but my sister, who is expecting her first baby, has a nice nursery.",0.95,Increased emotional intensity by expressing genuine amazement and stronger admiration.,Decreased emotional intensity by using more neutral and less enthusiastic language.,0.75,0.5,0.6,0.85,0.8,0.65,0.6,0.3,0.55
empatheticdialogues,all,ed_all_21459,I was driving down the highway and a semi-truck doesn't even look and just merges into my lane.  I had to swerve over and luckily there wasn't a car there.,"I was driving down the highway when suddenly a semi-truck, without even checking, dangerously merged into my lane! I had to swerve abruptly, and thank goodness there wasn’t a car there or it could’ve been a disaster!","While driving down the highway, a semi-truck merged into my lane without checking. I swerved to avoid it, and fortunately there was no car nearby.",0.95,More dramatic and intense expression highlighting the danger and suddenness of the event.,More restrained and factual expression with less emotional intensity.,0.4,0.5,0.5,0.5,0.8,0.6,0.35,0.3,0.5
dailydialog,train,dd_train_1413_0,"Shakespeare was born in 1867. No, it sounds wrong. He was born in the 16th century. Are you sure? Can you make it more exact? 1564.","Oh, Shakespeare being born in 1867 just doesn’t feel right at all! He was definitely born in the 16th century. Are you absolutely sure? Could you please give a more exact date? Ah, 1564, that makes so much sense!","Shakespeare was stated to be born in 1867, but that appears incorrect. He was born in the 16th century. Is that confirmed? Please provide the exact year. It is 1564.",0.95,"The positive rewrite heightens the emotional intensity by adding expressions of doubt and enthusiasm, making the correction more dramatic and explicit.","The negative rewrite reduces the emotional intensity, making the statements more formal, detached, and restrained, while preserving the factual content.",0.55,0.45,0.5,0.65,0.75,0.55,0.5,0.25,0.6
empatheticdialogues,all,ed_all_63941,I had to cancel on my friend tonight. It made me feel bad to do it but I was tired,"I really regretted having to cancel on my friend tonight. It made me feel truly awful, but I was just so exhausted.","I canceled on my friend tonight. It made me feel somewhat bad, but I was tired.",0.95,"The rewrite amplifies the emotional intensity by expressing a stronger sense of regret and feeling awful, highlighting the speaker's vulnerability and exhaustion more explicitly.","The rewrite downplays the emotional intensity, expressing the feelings in a more neutral and detached manner, minimizing the emotional impact of the cancellation.",0.4,0.35,0.45,0.35,0.55,0.4,0.45,0.25,0.5
dailydialog,train,dd_train_4652_0,"What happened to your brother ?  It seems that he has gone ape over the girl .  Your parents must be worrying about him .  Yes , he ’ s been like this for two weeks . We don ’ t know what to do .  Have you talked to him ?  Yeah . But he just didn ’ t listen .","What happened to your brother? It really seems like he has gone completely ape over the girl. Your parents must be so worried about him. Yes, he’s been like this for two whole weeks now. We truly don’t know what to do. Have you talked to him? Yeah, but he just wouldn’t listen at all.","What happened to your brother? It appears he has become quite fixated on the girl. Your parents are likely concerned about him. Yes, he has been like this for about two weeks. We are unsure how to proceed. Have you spoken with him? Yes, but he didn’t really pay attention.",0.95,"The positive rewrite amplifies the emotional intensity by using stronger phrasing, expressing deeper worry and frustration, and adding emphasis on duration and lack of response.","The negative rewrite tones down the emotional intensity by employing more formal and restrained language, reducing explicit emotional cues and dramatization.",0.58,0.52,0.48,0.62,0.75,0.5,0.55,0.35,0.45
empatheticdialogues,all,ed_all_31452,I get to see my favorite band tonight. I have been following them for 10 years and this is the first time I get to see them. I cant wait.,"I am absolutely ecstatic to see my favorite band tonight! I've been devotedly following them for 10 years, and this first opportunity to see them live fills me with pure joy. I literally can't wait!",I will see my favorite band tonight. I've followed them for 10 years and this is the first time seeing them. I'm looking forward to it.,0.95,"The positive rewrite expresses a much stronger excitement and enthusiasm about the event, with more dramatic and explicit expressions of joy and anticipation.","The negative rewrite presents the same factual information but with a more restrained and neutral tone, reducing emotional intensity and excitement.",0.85,0.7,0.6,0.95,0.9,0.7,0.75,0.4,0.5
dailydialog,train,dd_train_3301_0,What lovely weather! It's so pleasant after the bad weather we've been having. Let's go out and enjoy the fresh air. All right. Let's go.,"What absolutely wonderful weather! It feels incredibly pleasant after that awful stretch of bad weather we've endured. Let's rush outside to savor the fresh, invigorating air. Yes, let's go right now!","The weather is quite nice today. It's a relief after the recent bad weather we've had. We could go outside and get some fresh air. Okay, shall we go?",0.95,"The positive rewrite is more emotionally intense and enthusiastic, expressing greater excitement and vivid appreciation of the weather and the desire to go out.","The negative rewrite is more restrained and neutral, with a calmer and less emotionally charged tone while still conveying the same basic message.",0.85,0.65,0.7,0.92,0.85,0.78,0.78,0.45,0.6
empatheticdialogues,all,ed_all_11811,MY sister used to live next door to me. Now she has moved across town and I hardly ever see my neice.,"MY beloved sister used to live just next door, but now she’s moved across town, and I painfully miss seeing my dear niece frequently.","My sister previously lived next door; she has since moved across town, so I rarely see my niece.",0.95,"The emotion is made more intense and explicit, highlighting the pain and longing felt by the speaker.","The emotion is toned down to a more neutral, restrained observation with minimal explicit feeling.",0.4,0.3,0.5,0.55,0.55,0.5,0.4,0.1,0.5
empatheticdialogues,all,ed_all_29793,I'm about to ride a roller coaster for the first time! I hope I don't die!,I’m absolutely terrified and thrilled to be riding a roller coaster for the very first time! I genuinely hope I survive this wild adventure!,I’m about to ride a roller coaster for the first time. I hope it goes fine.,0.95,More intense and dramatic expression of excitement and fear about the roller coaster ride.,More restrained and subdued expression of anticipation and concern about the roller coaster ride.,0.55,0.75,0.45,0.6,0.9,0.4,0.5,0.5,0.5
empatheticdialogues,all,ed_all_30795,I felt bad seeing a guy talking to my girl friend,I felt really uneasy and hurt seeing a guy talking to my girl friend,I noticed a guy talking to my girl friend and felt a bit uncomfortable,0.95,"The emotion is expressed with higher emotional intensity, emphasizing uneasiness and hurt feelings.",The emotion is toned down to a more restrained and mild feeling of discomfort.,0.3,0.4,0.4,0.25,0.6,0.35,0.35,0.3,0.45
dailydialog,train,dd_train_521_0,"Do you know Sally? Sally? She is a bachelor girl. She is an excellent designer. Many of the company's advertisements are her child trains. Why is she still single? She must have a face that would stop a clock. Oh, quite the other way round. She is a knock-out. She devotes much of her time to her career.",Do you know Sally? Sally? She's such an amazing bachelor girl! An absolutely brilliant designer. So many of the company's ads are her masterpieces. But why is she still single? It's hard to believe because she's stunning beyond words. She truly is a knock-out. She dedicates herself wholeheartedly to her career.,Do you know Sally? Sally? She's a single woman. She's a competent designer. Many of the company's ads are her work. I'm not sure why she's still single. She's quite attractive. She spends much of her time on her career.,0.95,The positive rewrite increases emotional intensity by using enthusiastic and admiring language that highlights Sally's talent and attractiveness in a more passionate and expressive way.,"The negative rewrite reduces emotional intensity by using more neutral and factual language, making the description of Sally's qualities and situation more restrained and formal.",0.75,0.55,0.65,0.85,0.75,0.75,0.65,0.4,0.55
empatheticdialogues,all,ed_all_3893,"My dad took me to a golf championship, the PGA that came to my home town last May. All the famous golfers you see on TV were there and I tripped down a hill in a dress!","My dad took me to an amazing golf championship, the PGA that came to my home town last May. All the famous golfers you see on TV were there, and I embarrassingly tripped down a hill in a dress, feeling so exposed!","My dad took me to a golf championship, the PGA that came to my home town last May. Several famous golfers were present, and I tripped down a hill in a dress.",0.95,Increases emotional intensity by making the embarrassment and drama of tripping more explicit and vivid.,Reduces emotional intensity by describing the event in a more restrained and factual manner without emotional emphasis.,0.75,0.65,0.6,0.8,0.85,0.55,0.65,0.4,0.6
dailydialog,train,dd_train_5996_0,"Mr . Anderson , the boss wants to see you .  I'm on my way .","Mr. Anderson, the boss urgently wants to see you right now! I'm already rushing over!","Mr. Anderson, the boss would like to see you. I'm on my way.",0.95,"The positive rewrite increases emotional intensity, making the urgency and immediacy more explicit and dramatic.","The negative rewrite decreases emotional intensity, making the statement more neutral and restrained.",0.6,0.5,0.7,0.62,0.8,0.75,0.58,0.3,0.68
dailydialog,train,dd_train_4727_0,"This man looks very handsome. Is he married? Sure. He has already married, a father of two boys. Oh, I can't believe it. He looks very young. He took the picture when he was only 21 years old. I see.","This man looks incredibly handsome. Is he really married? Absolutely! He's already married and a proud father of two boys. Oh wow, I can hardly believe it. He looks so incredibly young! That picture was taken when he was just 21 years old. Wow, I see now.",This man looks handsome. Is he married? Yes. He is married and has two sons. I see. He appears young. The picture was taken when he was 21 years old. Understood.,0.95,"The positive rewrite uses more intense and enthusiastic language, expressing surprise and warmth more explicitly.","The negative rewrite uses more neutral and restrained language, reducing emotional expressiveness and surprise.",0.7,0.5,0.6,0.85,0.75,0.65,0.6,0.3,0.55
dailydialog,train,dd_train_7967_0,"May I speak to Marry ?  Marry is not in right now , she went shopping with her mum .  Will it be too late if I call around ten this evening ?  That's all right . We don't go to bed early .",May I please speak to Marry? She's not in at the moment; she went shopping with her mum. Would it be absolutely fine if I call around ten this evening? That's truly okay—I understand you don't go to bed early.,"May I speak to Marry? She isn’t available right now, as she went shopping with her mother. Would calling around ten this evening be inconvenient? That is acceptable. We don't retire early.",0.95,"The utterance expresses greater warmth and politeness, making the interaction feel more considerate and friendly.","The utterance uses more formal and neutral language, reducing warmth and making it sound more detached and procedural.",0.65,0.4,0.5,0.75,0.6,0.55,0.55,0.3,0.45
dailydialog,train,dd_train_5604_0,This is your room. What do you think of it? It's quiet and clean. I love the color scheme. We have the room color designed for our guest. I really like it here.,"This is your room, and I'm genuinely excited for you! What do you think about it? It's wonderfully quiet and impeccably clean. I absolutely adore the color scheme. We've thoughtfully designed the room color especially for our guest. Honestly, I really love being here.",This is your room. Please let me know what you think. It is quiet and clean. The color scheme is to my liking. The room color is selected for our guest. I find it acceptable here.,0.95,"More expressive, enthusiastic, and vividly conveys warmth and excitement about the room.","More neutral, restrained, and formal, reducing emotional expressiveness while maintaining politeness.",0.75,0.45,0.6,0.9,0.75,0.65,0.55,0.25,0.55
empatheticdialogues,all,ed_all_59883,I was running and a cat jumped out of this bush and scared me,I was running when suddenly a cat leapt out of this bush and really startled me!,"While I was running, a cat came out from a bush and scared me a little.",0.95,The positive rewrite increases the emotional intensity by making the surprise and fear more explicit and dramatic.,"The negative rewrite decreases the emotional intensity by softening the surprise and fear, making it more restrained and less vivid.",0.45,0.55,0.5,0.5,0.75,0.52,0.4,0.3,0.48
empatheticdialogues,all,ed_all_8481,I was shocked when my dad got me a new truck for my birthday,I was absolutely amazed and overwhelmed with joy when my dad surprised me with a new truck for my birthday,I was surprised when my dad got me a new truck for my birthday,0.95,Increases the emotional intensity by expressing amazement and overwhelming joy to highlight a stronger reaction to the event.,"Decreases the emotional intensity by expressing a more subdued and mild surprise, toning down the emotional impact.",0.75,0.65,0.6,0.85,0.85,0.65,0.7,0.45,0.55
